0 ['47', '0', '5', '24', '22']
1044 ['52', '51', '25', '6', '31']
1045 ['52', '51', '25', '6', '31']
1046 ['52', '51', '25', '6', '31']
1047 ['52', '51', '25', '6', '59']
1048 ['52', '51', '25', '6', '59']
1049 ['52', '51', '25', '6', '59']
1050 ['52', '51', '25', '6', '59']
1051 ['52', '51', '25', '6', '59']
1052 ['52', '51', '25', '6', '59']
1053 ['52', '51', '25', '6', '59']
1054 ['52', '51', '25', '6', '59']
1055 ['52', '51', '25', '6', '59']
1056 ['52', '51', '25', '6', '59']
1057 ['52', '51', '25', '6', '59']
1068 ['51', '25', '6', '52', '13']
1069 ['51', '25', '6', '52', '13']
1070 ['51', '25', '6', '52', '13']
1071 ['51', '25', '6', '52', '13']
1072 ['51', '25', '6', '52', '13']
1073 ['51', '25', '6', '52', '13']
1074 ['51', '25', '6', '52', '13']
1075 ['51', '25', '6', '52', '13']
1076 ['51', '25', '6', '52', '13']
1077 ['51', '25', '6', '52', '13']
1088 ['51', '25', '6', '52', '8']
1089 ['51', '25', '6', '52', '8']
1090 ['51', '25', '6', '52', '8']
1091 ['51', '25', '6', '52', '8']
1092 ['51', '25', '6', '52', '8']
1093 ['51', '25', '6', '52', '8']
1094 ['51', '25', '6', '52', '8']
1095 ['51', '25', '6', '52', '8']
1096 ['51', '25', '6', '52', '8']
1097 ['51', '25', '6', '52', '8']
1108 ['51', '25', '6', '52', '58']
1109 ['51', '25', '6', '52', '58']
1110 ['51', '25', '6', '52', '58']
1111 ['51', '25', '6', '52', '58']
1112 ['51', '25', '6', '52', '58']
1113 ['51', '25', '6', '52', '58']
1114 ['51', '25', '6', '52', '58']
1115 ['51', '25', '6', '52', '58']
1116 ['51', '25', '6', '52', '58']
1117 ['51', '25', '6', '52', '58']
1128 ['25', '6', '51', '52', '15']
1129 ['25', '6', '51', '52', '15']
1130 ['25', '6', '51', '52', '15']
1131 ['25', '6', '51', '52', '15']
1132 ['25', '6', '51', '52', '15']
1133 ['25', '6', '51', '52', '15']
1134 ['25', '6', '51', '52', '15']
1135 ['25', '6', '51', '52', '15']
1136 ['25', '6', '51', '52', '15']
1137 ['25', '6', '51', '52', '15']
1148 ['6', '51', '52', '25', '54']
1149 ['6', '51', '52', '25', '54']
1150 ['6', '51', '52', '25', '54']
1151 ['6', '51', '52', '25', '54']
1152 ['6', '51', '52', '25', '54']
1153 ['6', '51', '52', '25', '54']
1154 ['6', '51', '52', '25', '54']
1155 ['6', '51', '52', '25', '54']
1156 ['6', '51', '52', '25', '54']
1157 ['6', '51', '52', '25', '54']
1168 ['25', '6', '52', '51', '10']
1169 ['25', '6', '52', '51', '10']
1170 ['25', '6', '52', '51', '10']
1171 ['25', '6', '52', '51', '10']
1172 ['25', '6', '52', '51', '10']
1173 ['25', '6', '52', '51', '10']
1174 ['25', '6', '52', '51', '10']
1175 ['25', '6', '52', '51', '10']
1176 ['25', '6', '52', '51', '10']
1177 ['25', '6', '52', '51', '10']
1188 ['6', '52', '51', '25', '9']
1189 ['6', '52', '51', '25', '9']
1190 ['6', '52', '51', '25', '9']
1191 ['6', '52', '51', '25', '9']
1192 ['6', '52', '51', '25', '9']
1193 ['6', '52', '51', '25', '9']
1194 ['6', '52', '51', '25', '9']
