0 ['6', '34', '46', '49', '57', '5', '36', '42']
678 ['52', '1', '5', '59', '6', '25', '51', '51']
679 ['52', '1', '5', '59', '6', '25', '51', '51']
680 ['52', '1', '5', '59', '6', '25', '51', '51']
681 ['52', '1', '5', '59', '6', '25', '51', '51']
682 ['52', '1', '5', '59', '6', '25', '51', '51']
683 ['52', '1', '5', '59', '6', '25', '51', '51']
684 ['52', '1', '5', '59', '6', '25', '51', '51']
695 ['52', '5', '6', '51', '1', '59', '25', '37']
696 ['52', '5', '6', '51', '1', '59', '25', '37']
697 ['52', '5', '6', '51', '1', '59', '25', '37']
698 ['52', '5', '6', '51', '1', '59', '25', '37']
699 ['52', '5', '6', '51', '1', '59', '25', '37']
700 ['52', '5', '6', '51', '1', '59', '25', '37']
701 ['52', '5', '6', '51', '1', '59', '25', '37']
702 ['52', '5', '6', '51', '1', '59', '25', '37']
703 ['52', '5', '6', '51', '1', '59', '25', '37']
704 ['52', '5', '6', '51', '1', '59', '25', '37']
715 ['6', '51', '1', '59', '25', '5', '52', '61']
716 ['6', '51', '1', '59', '25', '5', '52', '61']
717 ['6', '51', '1', '59', '25', '5', '52', '61']
718 ['6', '51', '1', '59', '25', '5', '52', '61']
719 ['6', '51', '1', '59', '25', '5', '52', '61']
720 ['6', '51', '1', '59', '25', '5', '52', '61']
721 ['6', '51', '1', '59', '25', '5', '52', '61']
722 ['6', '51', '1', '59', '25', '5', '52', '61']
723 ['6', '51', '1', '25', '5', '59', '52', '54']
724 ['6', '51', '1', '25', '5', '59', '52', '54']
725 ['6', '51', '1', '25', '5', '59', '52', '54']
726 ['6', '51', '1', '25', '5', '59', '52', '54']
727 ['6', '51', '1', '25', '5', '59', '52', '54']
728 ['6', '51', '1', '25', '5', '59', '52', '54']
729 ['6', '51', '1', '25', '5', '59', '52', '54']
730 ['6', '51', '1', '25', '5', '59', '52', '54']
731 ['6', '51', '1', '25', '5', '59', '52', '54']
732 ['6', '51', '1', '25', '5', '59', '52', '54']
733 ['6', '51', '1', '25', '5', '59', '52', '54']
744 ['6', '51', '25', '5', '59', '52', '1', '57']
745 ['6', '51', '25', '5', '59', '52', '1', '57']
746 ['6', '51', '25', '5', '59', '52', '1', '57']
747 ['6', '51', '25', '5', '59', '52', '1', '57']
748 ['6', '51', '25', '5', '59', '52', '1', '57']
749 ['6', '51', '25', '5', '59', '52', '1', '57']
750 ['6', '51', '25', '5', '59', '52', '1', '57']
751 ['6', '25', '5', '52', '51', '1', '59', '54']
752 ['6', '25', '5', '52', '51', '1', '59', '54']
753 ['6', '25', '5', '52', '51', '1', '59', '54']
