1042 ['59', '52', '51', '25', '1', '6', '5']
1043 ['59', '52', '51', '25', '1', '6', '5']
1044 ['59', '52', '51', '25', '1', '6', '5']
1045 ['59', '52', '51', '25', '1', '6', '5']
1046 ['59', '52', '51', '25', '1', '6', '5']
1047 ['59', '52', '51', '25', '1', '6', '5']
1048 ['59', '52', '51', '25', '1', '6', '5']
1049 ['59', '52', '51', '25', '1', '6', '5']
1060 ['52', '51', '25', '6', '5', '59', '1']
1061 ['52', '51', '25', '6', '5', '59', '1']
1062 ['52', '51', '25', '6', '5', '59', '1']
1063 ['52', '51', '25', '6', '5', '59', '1']
1064 ['52', '51', '25', '6', '5', '59', '1']
1065 ['52', '51', '25', '6', '5', '59', '1']
1066 ['52', '51', '25', '6', '5', '59', '1']
1067 ['52', '51', '25', '6', '5', '59', '1']
