1194 ['6', '52', '25', '51', '59', '5']
1195 ['6', '52', '25', '51', '59', '5']
1196 ['6', '52', '25', '51', '59', '5']
1197 ['6', '52', '25', '51', '59', '5']
1198 ['6', '52', '25', '51', '59', '5']
1199 ['6', '52', '25', '51', '59', '5']
1200 ['6', '52', '25', '51', '59', '5']
1201 ['6', '52', '25', '51', '59', '5']
1212 ['6', '25', '51', '59', '52', '61']
1213 ['6', '25', '51', '59', '52', '61']
1214 ['6', '25', '51', '59', '52', '61']
1215 ['6', '25', '51', '59', '52', '61']
1216 ['6', '25', '51', '59', '52', '61']
1217 ['6', '25', '51', '59', '52', '61']
1218 ['6', '25', '51', '59', '52', '61']
1219 ['6', '25', '51', '59', '52', '61']
