1380 ['6', '52', '51', '55']
1381 ['6', '52', '51', '55']
1382 ['6', '52', '51', '55']
1383 ['6', '52', '51', '55']
1384 ['6', '52', '51', '55']
1385 ['6', '52', '51', '55']
1396 ['6', '52', '51', '0']
1397 ['6', '52', '51', '0']
1398 ['6', '52', '51', '0']
1399 ['6', '52', '51', '0']
1400 ['6', '52', '51', '0']
1401 ['6', '52', '51', '0']
1402 ['6', '52', '51', '0']
1403 ['6', '52', '51', '0']
1404 ['52', '51', '6', '25']
1405 ['52', '51', '6', '25']
1406 ['52', '51', '6', '25']
1407 ['52', '51', '6', '25']
1408 ['52', '51', '6', '25']
1409 ['52', '51', '6', '25']
1410 ['52', '51', '6', '25']
1411 ['52', '51', '6', '25']
1412 ['52', '51', '6', '25']
1413 ['52', '51', '6', '25']
1414 ['52', '51', '6', '25']
1425 ['52', '51', '25', '6']
1426 ['52', '51', '25', '6']
1427 ['52', '51', '25', '6']
1428 ['52', '51', '25', '6']
1429 ['52', '51', '25', '6']
1430 ['52', '51', '25', '6']
1431 ['52', '51', '25', '6']
1432 ['52', '51', '25', '6']
1433 ['52', '51', '25', '6']
1434 ['52', '51', '25', '6']
1445 ['52', '51', '6', '56']
1446 ['52', '51', '6', '56']
1447 ['52', '51', '6', '56']
1448 ['52', '51', '6', '56']
1449 ['52', '51', '6', '56']
1450 ['52', '51', '6', '56']
1451 ['52', '51', '6', '56']
1452 ['52', '6', '51', '25']
1453 ['52', '6', '51', '25']
1454 ['52', '6', '51', '25']
1455 ['52', '6', '51', '25']
1456 ['52', '6', '51', '25']
1457 ['52', '6', '51', '25']
1458 ['52', '6', '51', '25']
1459 ['52', '6', '51', '25']
1460 ['52', '6', '51', '25']
1461 ['52', '6', '51', '25']
1462 ['52', '6', '51', '25']
1473 ['52', '51', '25', '10']
1474 ['52', '51', '25', '10']
1475 ['52', '51', '25', '10']
1476 ['52', '51', '25', '10']
1477 ['52', '51', '25', '10']
1478 ['52', '51', '25', '10']
1479 ['52', '51', '25', '10']
1480 ['52', '51', '25', '10']
1481 ['52', '51', '25', '10']
1482 ['52', '51', '25', '10']
1493 ['51', '25', '52', '55']
1494 ['51', '25', '52', '55']
1495 ['51', '25', '52', '55']
1496 ['51', '25', '52', '55']
1497 ['51', '25', '52', '55']
1498 ['51', '25', '52', '55']
1499 ['51', '25', '52', '55']
1500 ['25', '52', '51', '6']
1501 ['25', '52', '51', '6']
1502 ['25', '52', '51', '6']
1503 ['25', '52', '51', '6']
1504 ['25', '52', '51', '6']
1505 ['25', '52', '51', '6']
1506 ['25', '52', '51', '6']
1507 ['25', '52', '51', '6']
1508 ['25', '52', '51', '6']
1509 ['25', '52', '51', '6']
1510 ['25', '52', '51', '6']
1521 ['52', '51', '6', '19']
1522 ['52', '51', '6', '19']
1523 ['52', '51', '6', '19']
1524 ['52', '51', '6', '19']
1525 ['52', '51', '6', '19']
1526 ['52', '51', '6', '19']
1527 ['52', '51', '6', '19']
1528 ['52', '51', '6', '19']
1529 ['52', '51', '6', '19']
1530 ['52', '51', '6', '19']
1541 ['52', '51', '6', '2']
1542 ['52', '51', '6', '2']
1543 ['52', '51', '6', '2']
1544 ['52', '51', '6', '2']
1545 ['52', '51', '6', '2']
1546 ['52', '51', '6', '2']
1547 ['52', '51', '6', '2']
1548 ['52', '51', '6', '2']
1549 ['52', '51', '6', '2']
1550 ['52', '51', '6', '2']
1561 ['52', '51', '6', '19']
1562 ['52', '51', '6', '19']
1563 ['52', '51', '6', '19']
1564 ['52', '51', '6', '19']
1565 ['52', '51', '6', '19']
1566 ['52', '51', '6', '19']
1567 ['52', '51', '6', '19']
1568 ['52', '51', '6', '19']
1569 ['52', '51', '6', '19']
1570 ['52', '51', '6', '19']
1581 ['52', '51', '6', '2']
1582 ['52', '51', '6', '2']
1583 ['52', '51', '6', '2']
1584 ['52', '51', '6', '2']
1585 ['52', '51', '6', '2']
1586 ['52', '51', '6', '2']
1587 ['52', '51', '6', '2']
1588 ['52', '51', '6', '2']
1589 ['52', '51', '6', '2']
1590 ['52', '51', '6', '2']
1601 ['52', '51', '6', '37']
1602 ['52', '51', '6', '37']
1603 ['52', '51', '6', '37']
1604 ['52', '51', '6', '37']
1605 ['52', '51', '6', '37']
1606 ['52', '51', '6', '37']
1607 ['52', '51', '6', '37']
1608 ['52', '51', '6', '37']
1609 ['52', '51', '6', '37']
1610 ['52', '51', '6', '37']
1621 ['52', '51', '6', '16']
1622 ['52', '51', '6', '16']
1623 ['52', '51', '6', '16']
1624 ['52', '51', '6', '16']
1625 ['52', '51', '6', '16']
1626 ['52', '51', '6', '16']
1627 ['52', '51', '6', '16']
1628 ['52', '51', '6', '16']
1629 ['52', '51', '6', '16']
1630 ['52', '51', '6', '16']
1641 ['52', '51', '6', '11']
1642 ['52', '51', '6', '11']
