1948 ['51', '52', '6']
1949 ['51', '52', '6']
1950 ['51', '52', '6']
1951 ['51', '52', '6']
1962 ['52', '51', '19']
1963 ['52', '51', '19']
1964 ['52', '51', '19']
1965 ['52', '51', '19']
1966 ['52', '51', '19']
1967 ['52', '51', '19']
1968 ['52', '51', '19']
1969 ['52', '51', '19']
1970 ['52', '51', '19']
1971 ['52', '51', '19']
1982 ['52', '51', '27']
1983 ['52', '51', '27']
1984 ['52', '51', '27']
1985 ['52', '51', '27']
1986 ['52', '51', '27']
1987 ['52', '51', '27']
1988 ['52', '51', '27']
1989 ['52', '51', '27']
1990 ['52', '51', '27']
1991 ['52', '51', '27']
2002 ['52', '51', '25']
2003 ['52', '51', '25']
2004 ['52', '51', '25']
2005 ['52', '51', '25']
2006 ['52', '51', '25']
2007 ['52', '51', '25']
2008 ['52', '51', '25']
2009 ['52', '51', '25']
2010 ['52', '51', '25']
2011 ['52', '51', '25']
2022 ['51', '52', '6']
2023 ['51', '52', '6']
2024 ['51', '52', '6']
2025 ['51', '52', '6']
2026 ['51', '52', '6']
2027 ['51', '52', '6']
2028 ['51', '52', '6']
2029 ['51', '52', '6']
2030 ['51', '52', '6']
2031 ['51', '52', '6']
2032 ['51', '52', '6']
2043 ['51', '52', '49']
2044 ['51', '52', '6']
2045 ['51', '52', '6']
2046 ['51', '52', '6']
2047 ['51', '52', '6']
2048 ['51', '52', '6']
2049 ['51', '52', '6']
2050 ['51', '52', '6']
2051 ['51', '52', '6']
2052 ['51', '52', '6']
2053 ['51', '52', '6']
2054 ['51', '52', '6']
